user_question,official_answer
我想報名AWS-SAA課程,"## AWS雲端解決方案架構師考證班 - 雲育鏈 | AWS雲端培訓合作夥伴 | 雲端課程培訓

課程內容為最新認證版本【 SAA-C03 】
可順利考取 AWS Solutions Architect – Associate 認證(SAA-C03)，並具有充足理論與實戰經驗，能因應各IT部門的專案需求及雲端代理商的案件，設計出專案中客戶所需的雲端架構，提出可行的雲端解決方案。

先以生活化的故事方式旁徵博引，牽引至技術面做深入的探討。
以資訊業界常用的架構為主，帶出AWS核心服務的重點內容。
課程針對各服務精準介紹、案例考題加強印象，整體考題練習。
每單元上完立即練習，增加考照記憶點，並透過雲端認證小幫手練習。

**課程時間:**
詳見報名連結
https://lihi1.com/OSdQi

**上課地點:**

* 台北市中山區長安東路二段80號5樓 (近松江南京捷運站4號出口)
* 在家遠端直播上課

**多種在雲端上常見的架構延伸討論:**

**加入LINE官方號，詢問課程內容**

https://lin.ee/27OG8ZS"
我想報名GCP-ACE課程,"## GCP 雲端工程師實作考證班 - 雲育鏈 | AWS雲端培訓合作夥伴 | 雲端課程培訓

本課程將以NIST新方向的雲概念進行實作，當中以「零信任安全」及「雲端原生」技術，貫穿整個GCP雲端架構的思路，結訓後具備考取GCP Cloud Engineer認證的資格與實力。

主要考的都是NIST新方向的雲概念，老師也會在裡面放入多種強化元素：

* 部署應用程式
* 監控運維
* 管理企業解決方案
* 使用Console和CLI來進行開發及運維
* 設計並實作企業應用場景的雲端架構
* 透過架構設計提出解決方案

**課程時間:**
查看下方連結
https://lihi1.com/MJf3i

**上課地點:**

* 台北市中山區長安東路二段80號5樓 (近松江南京捷運站4號出口)
* 在家遠端直播上課

**更多架構與實作Lab:**

以架構思維進行系統設計的培訓，除了學習雲端技術實作外，更是在系統設計思路。剖析各種不同應用場景的架構，並以實作的方式解決。

**加入LINE官方號，詢問課程內容**

https://lin.ee/27OG8ZS
"
請問你們有專人可以服務嗎？,"**加入LINE官方號**

https://lin.ee/27OG8ZS

加入之後記得傳張貼圖，我們才能知道喔"
你們有提供企業包班服務嗎？,"有的，可以加入LINE官方號
https://lin.ee/27OG8ZS

裡面有專人跟您洽談企業包班細節，加入之後記得傳張貼圖，我們才能知道喔"
我們公司想要上雲，你們這邊可以怎麼幫忙我們？,"每一間公司的企業文化都有不同，會建議找顧問進行討論，設計一個逐步引導的過程
可以加入LINE官方號
https://lin.ee/27OG8ZS

裡面有專人跟您洽談顧問細節，加入之後記得傳張貼圖，我們才能知道喔"
我們公司雲端費用很貴，該怎麼辦？,"雲端節費是我們公司的強項，您可以選擇上課了解各類服務的節費方向，或聯絡我們，替您安排顧問。
可以加入LINE官方號
https://lin.ee/27OG8ZS

裡面有專人跟您洽談顧問細節，加入之後記得傳張貼圖，我們才能知道喔"
你們這裡有教室場地租借嗎？,"有的，可以聯絡專人，確認場地可行的租借時間。

一個時段是1600元，當月最優惠，預訂上午+下午時段只要3000$ !!

相關網址如下
https://www.cxcxc.io/space-rental/"
你們公司在哪裡啊？,"台北據點是長安東路二段80號5樓
中壢是明德路60號四樓
來訪前，建議先打電話詢問是否在辦公室喔， 電話是02-25078554"
要如何聯絡到李秉鴻老師呢？,"可以加入LINE官方號，由我們替您安排聯絡喔
https://lin.ee/27OG8ZS"
我想要團報課程，有人可以幫我嗎？,"可以加入LINE官方號，由我們替您安排聯絡喔
https://lin.ee/27OG8ZS"
